定常監視で「山手貨　池袋 電子BSRH　MTDレベル低下･妨害波･残留警報レベル･未通過検知5架･6架」を検知。システム監視で「池袋(列) 不正落下 715ﾛT」発生及び「池袋(列) 不正落下 YA1T」発生/回復を検知。ジャーナルを確認したところ、出564Kが軌道回路715ﾛT進入時に715ﾛTが落下のままとなり、YA1Tが複数回動作落下を繰り返していることが判明。信号係員と施設係員が合同で現地確認したところ、YA1Tと715ﾛTの間の絶縁に鉄片が介在してることが判明。介在物を取り除き、軌道回路データ及び現車で異常がないことを確認した。	1
定常で「山手貨 池袋 池袋ＭＲＨ デジタルＡＴＣ Ｉ／Ｆ装置 片系故障」発生を検知。Ｄ－ＡＴＣ中央端末にて「警報 池袋 ＡＴＣＩ／Ｆ故障 2系 運転モード（従系）」発生を検知。現地確認したところATC-I/F 2系ﾕﾆｯﾄの故障ランプが点灯していた。メーカーに連絡をとり確認したところ、F486-4のシート故障と判断し交換して復旧した。	2
定常監視にて「山手貨　池袋　電子MRH　MTDﾚﾍﾞﾙ低下・妨害波・残留警報ﾚﾍﾞﾙ・未通過検知1架」を検知。その後、システム監視端末にて「池袋(列)　不正落下発生　719T」および定常監視にて「山手貨　電子連動ｱﾀﾞﾌﾟﾀ 電子MRH　軌道回路故障」が発生し、3分後に回復した。ATOSｼﾞｬｰﾅﾙを解析したところ、719Tの内方隣接軌道回路の720ﾛTが扛上した際に719Tが落下したままであり、軌道回路(MTD)ｼﾞｬｰﾅﾙを解析したところ、719Tに列車が進入した際に残留危険ﾚﾍﾞﾙ検知が発生し、軌道回路に動作時素30秒が働いたため、719Tの落下時間が長くなったと判明した。施設係員と現地合同調査したところ、719Tと上1Tの絶縁の間に鉄片が介在していた。介在物を取り除き、現車で異常がないことを確認。軌道回路データにも異常がないことを確認した。	1
定常監視にて「山手貨 池袋 電子MRH MTDレベル低下・妨害波・残留警報レベル・未通過検知2架」を検知。その後、システム監視にて「埼京山貨 池袋（列）不正落下発生」および定常監視にて「山手貨 池袋 電子連動アダプタ 電子MRH 軌道回路故障」発生を検知。２分後に回復した。ATOSジャーナルを解析したところ、720イTの内方隣接軌道回路の721Tが扛上した際に720イTが落下したままであり、軌道回路（MTD）ジャーナルを解析したところ、720イTに残留警報が発生していることが判明した。施設係員と現地合同調査したところ、分岐器、絶縁、レールボンド廻りに異常は見られず鉄片等の介在物も無かった。	1
定常監視にて「山手　新宿　列防動作　新宿　山内（山上TEM（電車））」「山手　新宿　画像式転落検知装置（電車）14番線　軽故障R」「山手　新宿　画像式転落検知装置（電車）14番線　重故障R」「山手　新宿　画像式転落検知動作（電車）14番線」を検知。その後、新宿駅にて作業を行っていた信号係員より作業中に不要なｹｰﾌﾞﾙを引き抜いていたところ、跳ねたｹｰﾌﾞﾙが画像式転落検知装置の電源SWに当たり電源が切れてしまったとの連絡が入り、電源を再投入し故障回復となった。現場の確認作業を行い、その後異常の無いことを確認した。	0
定常にて「山手貨　池袋　P-新宿池袋上4　中継器（RP）NO.1故障」を検知。信号係員が現地確認したところ上4-1のクロージャ内に水が浸入していることが判明した。また、輸送一斉にて「池袋～新宿　上3付近で1418Fがパターン接近」の伝達。その後、列車数本にて同様の伝達。現地作業中の信号係員が上4-1地上子への回線を切り離し使用停止をした。後日、クロージャの交換を行うこととした。	2
定常監視にて「山手貨　池袋　接点21 電子BSRH　MTDレベル低下・妨害波・残留警報レベル・未通過検知5架」「山手貨　池袋　接点21 電子BSRH　MTDレベル低下・妨害波・残留警報レベル・未通過検知6架」検知。システム監視では「池袋(列)　不正落下発生　YA2T」「池袋(列)　軌道回路故障回復　YA2T」を検知し、その後に「池袋(列)　不正落下発生　YA1T」「池袋(列)　軌道回路故障回復　YA1T」を検知した。ジャーナル確認したところ、列車非在線時に軌道回路YA1TとYA2Tが数回落下しているのを認めた。施設係員と合同で現地確認したところ、YA1TとYA2Tの間の絶縁に鉄片が介在しているのを認めた。鉄片を取り除き故障は回復。軌道回路データおよび現車にて異常のないことを確認した。	1
定常監視にて「山手貨 池袋 P-新宿池袋下1 符号処理器(EC)故障」及び「山手貨 新宿 P-新宿～池袋下1(田端M) 符号処理器(EC)故障」発生/回復を検知。以後多発。信号係員に対応を指示。現地確認したところ、下1ECにおいてOPM-Aシートの異常を確認。当該シートの交換を行い回復。定常にてアラームなしを確認。現地引上げた。	2
定常監視にて「山手貨　大崎　大崎列車RH電子連動新型　軌道回路故障」発生／回復及びシステム監視にて「埼京山貨　大崎(列)　不正落下　165T」発生／回復を検知。その後、輸送一斉にて「山手貨物線大崎駅構内165T不正落下の発生／回復を検知し、列番もシフトした」との伝達。信号指令にてATOSジャーナルを確認したところ列車が非在線時に約4秒間落下していることが判明した。施設係員と合同で調査したところ、分岐廻り、ボンド及び絶縁等のレール廻りに異常が無いことを確認し、メモリーハイコーダを設置し監視することとした。	1
システム監視にて「山手　大崎（電）転てつ器　再転換発生　４４　１ＲＡ」を２回検知、その後「山手大崎（電）　転てつ器転換異常　４４　１ＲＡ」及び定常監視にて「山手　大崎電車ＲＨ　新型電子連動新型　転てつ機故障（転換不能）」を検知。駅扱所に確認したところ、４４号転てつ機が反位から定位へ転換時に発生する事を確認した。駅係員が現場確認したところ、転てつ機周りに異常は見られず転換も行うが、定位側が密着しない事が判明した。信号係員が施設係員と合同で現場を調査したところ、４４号定位側のトングレールと基本レールの間にボルト片が介在していた事が判明。ボルト片を除去し転換試験にて異常無しを確認、現車でも異常の無いことを確認した。	3
